default_setting_uuid;app_uuid;default_setting_category;default_setting_subcategory;default_setting_name;default_setting_value;default_setting_order;default_setting_enabled;default_setting_description
fd1afabc-81df-4569-8e6a-3dc710404ee8;;domain;menu;uuid;b4750c3f-2a86-b00d-b7d0-345c14eca286;;true;
ddcb9923-bc7c-4f71-9d72-53bb827dd96a;;domain;time_zone;name;"";;true;
d2803668-0760-4672-ba88-1976cc3fc97f;;domain;language;code;en-us;;true;
dd9a70ab-5615-433d-b1a4-8958e4978c60;;domain;country;iso_code;US;;true;
2b3e728a-fc89-4edd-bfd3-01c6a55bd717;;domain;template;name;default;;true;
697099ce-1fad-46da-97dd-8c06bd31c83e;;server;temp;dir;/tmp;;true;
982cf897-2625-41fe-b129-1c75914ef381;;server;backup;dir;/tmp;;true;
8ebeb864-f03e-406c-b82f-6eb47cb1bd39;;limit;call_center_queues;numeric;3;;false;""
4fedc226-caca-4ebf-b4eb-31de93e5bed3;;follow_me;max_destinations;numeric;5;;false;Set the maximum number of Follow Me Destinations.
ce105d64-2d1b-4d19-ae34-ccb818cc9c6e;;follow_me;timeout;numeric;30;;false;Set the default Follow Me Timeout value.
70d8538a-89ab-4db6-87b1-f5e447680283;;limit;destinations;numeric;3;;false;""
e05a4745-ea59-47a7-8e7f-5db7d2a5c273;;limit;devices;numeric;3;;false;""
2e217303-53ff-4dda-b74e-7f07738d83c2;;editor;font_size;text;14px;;false;Set the default text size for Editor.
8701cdca-64a1-4ff4-85a1-a09b1389ce92;;editor;indent_guides;boolean;false;;false;Set the default visibility of indent guides for Editor.
5669f8cf-f0a0-4d9c-ad75-caf239e9f5cd;;editor;invisibles;boolean;false;;false;Set the default state of invisible characters for Editor.
7122cb30-d557-4001-af94-d8d21f964a63;;editor;line_numbers;boolean;false;;false;Set the default visibility of line numbers for Editor.
62cfc1ac-6566-45ba-8c7d-f4234ab1b31e;;editor;live_previews;boolean;false;;false;"Enable or disable live previewing of syntax, text size and theme changes."
7b403afd-e4d6-4e96-8c8f-2cf5d6187191;;editor;theme;text;Cobalt;;false;Set the default theme.
db3290e5-d3fb-4bcd-b2a8-a0061aa02532;;domain;dial_string;text;"{sip_invite_domain=${domain_name},leg_timeout=${call_timeout},presence_id=${dialed_user}@${dialed_domain}}${sofia_contact(*/${dialed_user}@${dialed_domain})}";;false;""
3eeb3757-f7bb-437a-9021-8ccf3f27c98b;;limit;extensions;numeric;3;;false;""
6840bdb0-eb9d-45bd-a79a-ccb64d08fd97;;fax;allowed_extension;array;.pdf;;true;""
7031d8ec-4610-4696-b5b4-9b5f89f2bff1;;fax;allowed_extension;array;.tif;;true;""
c3c4487d-62f1-48d1-9fda-048fca830fb9;;fax;allowed_extension;array;.tiff;;true;""
cec88775-8aaf-4667-a04d-414b3274e545;;fax;cover_logo;text;"";;false;Path to image/logo file displayed in the header of the cover sheet.
6aba55ae-ced9-4853-81d0-33667be763e5;;fax;cover_font;text;times;;false;Font used to generate cover page. Can be full path to .ttf file or font name alredy installed.
